Designator,Mid X,Mid Y,Layer,Rotation
D1,0,0,top,120
D10,-12.6,0,top,120
D100,-8.4,-2.424871,top,120
D1000,-40.6,-14.549226,top,120
D1001,-39.2,-14.549226,top,120
D1002,-37.8,-14.549226,top,120
D1003,-36.4,-14.549226,top,120
D1004,-35,-14.549226,top,120
D1005,-33.6,-14.549226,top,120
D1006,-32.2,-14.549226,top,120
D1007,-30.8,-14.549226,top,120
D1008,-29.4,-14.549226,top,120
D1009,-28,-14.549226,top,120
D101,-9.8,-2.424871,top,120
D1010,-26.6,-14.549226,top,120
D1011,-25.2,-14.549226,top,120
D1012,-23.8,-14.549226,top,120
D1013,-22.4,-14.549226,top,120
D1014,-21,-14.549226,top,120
D1015,-19.6,-14.549226,top,120
D1016,-18.2,-14.549226,top,120
D1017,-16.8,-14.549226,top,120
D1018,-15.4,-14.549226,top,120
D1019,-14,-14.549226,top,120
D102,-11.2,-2.424871,top,120
D1020,-12.6,-14.549226,top,120
D1021,-11.2,-14.549226,top,120
D1022,-9.8,-14.549226,top,120
D1023,-8.4,-14.549226,top,120
D1024,-7,-14.549226,top,120
D1025,-5.6,-14.549226,top,120
D1026,-4.2,-14.549226,top,120
D1027,-2.8,-14.549226,top,120
D1028,-1.4,-14.549226,top,120
D1029,0,-14.549226,top,120
D103,-12.6,-2.424871,top,120
D1030,1.4,-14.549226,top,120
D1031,2.8,-14.549226,top,120
D1032,4.2,-14.549226,top,120
D1033,5.6,-14.549226,top,120
D1034,7,-14.549226,top,120
D1035,8.4,-14.549226,top,120
D1036,-55.3,-13.336791,top,120
D1037,-53.9,-13.336791,top,120
D1038,-52.5,-13.336791,top,120
D1039,-51.1,-13.336791,top,120
D104,-14,-2.424871,top,120
D1040,-49.7,-13.336791,top,120
D1041,-48.3,-13.336791,top,120
D1042,-46.9,-13.336791,top,120
D1043,-45.5,-13.336791,top,120
D1044,-44.1,-13.336791,top,120
D1045,-42.7,-13.336791,top,120
D1046,-41.3,-13.336791,top,120
D1047,-39.9,-13.336791,top,120
D1048,-38.5,-13.336791,top,120
D1049,-37.1,-13.336791,top,120
D105,-15.4,-2.424871,top,120
D1050,-35.7,-13.336791,top,120
D1051,-34.3,-13.336791,top,120
D1052,-32.9,-13.336791,top,120
D1053,-31.5,-13.336791,top,120
D1054,-30.1,-13.336791,top,120
D1055,-28.7,-13.336791,top,120
D1056,-27.3,-13.336791,top,120
D1057,-25.9,-13.336791,top,120
D1058,-24.5,-13.336791,top,120
D1059,16.1,-27.886018,top,120
D106,-16.8,-2.424871,top,120
D1060,14.7,-27.886018,top,120
D1061,13.3,-27.886018,top,120
D1062,11.9,-27.886018,top,120
D1063,10.5,-27.886018,top,120
D1064,9.1,-27.886018,top,120
D1065,7.7,-27.886018,top,120
D1066,6.3,-27.886018,top,120
D1067,4.9,-27.886018,top,120
D1068,3.5,-27.886018,top,120
D1069,2.1,-27.886018,top,120
D107,-18.2,-2.424871,top,120
D1070,0.7,-27.886018,top,120
D1071,-0.7,-27.886018,top,120
D1072,-2.1,-27.886018,top,120
D1073,-3.5,-27.886018,top,120
D1074,-4.9,-27.886018,top,120
D1075,-6.3,-27.886018,top,120
D1076,-7.7,-27.886018,top,120
D1077,-9.1,-27.886018,top,120
D1078,-10.5,-27.886018,top,120
D1079,-11.9,-27.886018,top,120
D108,-19.6,-2.424871,top,120
D1080,-13.3,-27.886018,top,120
D1081,-14.7,-27.886018,top,120
D1082,-16.1,-27.886018,top,120
D1083,-17.5,-27.886018,top,120
D1084,-18.9,-27.886018,top,120
D1085,-20.3,-27.886018,top,120
D1086,-21.7,-27.886018,top,120
D1087,-23.1,-27.886018,top,120
D1088,-24.5,-27.886018,top,120
D1089,-25.9,-27.886018,top,120
D109,-21,-2.424871,top,120
D1090,-27.3,-27.886018,top,120
D1091,-28.7,-27.886018,top,120
D1092,-30.1,-27.886018,top,120
D1093,-31.5,-27.886018,top,120
D1094,-32.9,-27.886018,top,120
D1095,-34.3,-27.886018,top,120
D1096,-35.7,-27.886018,top,120
D1097,-37.1,-27.886018,top,120
D1098,-38.5,-27.886018,top,120
D1099,-39.9,-27.886018,top,120
D11,-14,0,top,120
D110,-22.4,-2.424871,top,120
D1100,-41.3,-27.886018,top,120
D1101,-42.7,-27.886018,top,120
D1102,-44.1,-27.886018,top,120
D1103,-45.5,-27.886018,top,120
D1104,-46.9,-27.886018,top,120
D1105,16.8,-29.098453,top,120
D1106,15.4,-29.098453,top,120
D1107,14,-29.098453,top,120
D1108,12.6,-29.098453,top,120
D1109,11.2,-29.098453,top,120
D111,-23.8,-2.424871,top,120
D1110,9.8,-29.098453,top,120
D1111,8.4,-29.098453,top,120
D1112,7,-29.098453,top,120
D1113,5.6,-29.098453,top,120
D1114,4.2,-29.098453,top,120
D1115,2.8,-29.098453,top,120
D1116,1.4,-29.098453,top,120
D1117,0,-29.098453,top,120
D1118,-1.4,-29.098453,top,120
D1119,-2.8,-29.098453,top,120
D112,-25.2,-2.424871,top,120
D1120,-4.2,-29.098453,top,120
D1121,-5.6,-29.098453,top,120
D1122,-7,-29.098453,top,120
D1123,-8.4,-29.098453,top,120
D1124,-9.8,-29.098453,top,120
D1125,-11.2,-29.098453,top,120
D1126,-12.6,-29.098453,top,120
D1127,-14,-29.098453,top,120
D1128,-15.4,-29.098453,top,120
D1129,-16.8,-29.098453,top,120
D113,-26.6,-2.424871,top,120
D1130,-18.2,-29.098453,top,120
D1131,-19.6,-29.098453,top,120
D1132,-21,-29.098453,top,120
D1133,-22.4,-29.098453,top,120
D1134,-23.8,-29.098453,top,120
D1135,-25.2,-29.098453,top,120
D1136,-26.6,-29.098453,top,120
D1137,-28,-29.098453,top,120
D1138,-29.4,-29.098453,top,120
D1139,-30.8,-29.098453,top,120
D114,-28,-2.424871,top,120
D1140,-32.2,-29.098453,top,120
D1141,-33.6,-29.098453,top,120
D1142,-35,-29.098453,top,120
D1143,-36.4,-29.098453,top,120
D1144,-37.8,-29.098453,top,120
D1145,-39.2,-29.098453,top,120
D1146,-40.6,-29.098453,top,120
D1147,-42,-29.098453,top,120
D1148,-43.4,-29.098453,top,120
D1149,-44.8,-29.098453,top,120
D115,-29.4,-2.424871,top,120
D1150,-46.2,-29.098453,top,120
D1151,17.5,-30.310889,top,120
D1152,16.1,-30.310889,top,120
D1153,14.7,-30.310889,top,120
D1154,13.3,-30.310889,top,120
D1155,11.9,-30.310889,top,120
D1156,10.5,-30.310889,top,120
D1157,9.1,-30.310889,top,120
D1158,7.7,-30.310889,top,120
D1159,6.3,-30.310889,top,120
D116,-30.8,-2.424871,top,120
D1160,4.9,-30.310889,top,120
D1161,3.5,-30.310889,top,120
D1162,2.1,-30.310889,top,120
D1163,0.7,-30.310889,top,120
D1164,-0.7,-30.310889,top,120
D1165,-2.1,-30.310889,top,120
D1166,-3.5,-30.310889,top,120
D1167,-4.9,-30.310889,top,120
D1168,-6.3,-30.310889,top,120
D1169,-7.7,-30.310889,top,120
D117,-32.2,-2.424871,top,120
D1170,-9.1,-30.310889,top,120
D1171,-10.5,-30.310889,top,120
D1172,-11.9,-30.310889,top,120
D1173,-13.3,-30.310889,top,120
D1174,-14.7,-30.310889,top,120
D1175,-16.1,-30.310889,top,120
D1176,-17.5,-30.310889,top,120
D1177,-18.9,-30.310889,top,120
D1178,-20.3,-30.310889,top,120
D1179,-21.7,-30.310889,top,120
D118,-33.6,-2.424871,top,120
D1180,-23.1,-30.310889,top,120
D1181,-24.5,-30.310889,top,120
D1182,-25.9,-30.310889,top,120
D1183,-27.3,-30.310889,top,120
D1184,-28.7,-30.310889,top,120
D1185,-30.1,-30.310889,top,120
D1186,-31.5,-30.310889,top,120
D1187,-32.9,-30.310889,top,120
D1188,-34.3,-30.310889,top,120
D1189,-35.7,-30.310889,top,120
D119,-35,-2.424871,top,120
D1190,-37.1,-30.310889,top,120
D1191,-38.5,-30.310889,top,120
D1192,-39.9,-30.310889,top,120
D1193,-41.3,-30.310889,top,120
D1194,-42.7,-30.310889,top,120
D1195,-44.1,-30.310889,top,120
D1196,-45.5,-30.310889,top,120
D1197,18.2,-31.523324,top,120
D1198,16.8,-31.523324,top,120
D1199,15.4,-31.523324,top,120
D12,-15.4,0,top,120
D120,-36.4,-2.424871,top,120
D1200,14,-31.523324,top,120
D1201,12.6,-31.523324,top,120
D1202,11.2,-31.523324,top,120
D1203,9.8,-31.523324,top,120
D1204,8.4,-31.523324,top,120
D1205,7,-31.523324,top,120
D1206,5.6,-31.523324,top,120
D1207,4.2,-31.523324,top,120
D1208,2.8,-31.523324,top,120
D1209,1.4,-31.523324,top,120
D121,-37.8,-2.424871,top,120
D1210,0,-31.523324,top,120
D1211,-1.4,-31.523324,top,120
D1212,-2.8,-31.523324,top,120
D1213,-4.2,-31.523324,top,120
D1214,-5.6,-31.523324,top,120
D1215,-7,-31.523324,top,120
D1216,-8.4,-31.523324,top,120
D1217,-9.8,-31.523324,top,120
D1218,-11.2,-31.523324,top,120
D1219,-12.6,-31.523324,top,120
D122,-39.2,-2.424871,top,120
D1220,-14,-31.523324,top,120
D1221,-15.4,-31.523324,top,120
D1222,-16.8,-31.523324,top,120
D1223,-18.2,-31.523324,top,120
D1224,-19.6,-31.523324,top,120
D1225,-21,-31.523324,top,120
